Name	Used	Potential
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	0.000000
GAS	0.000000	0.000000
JETFUEL_RE	0.000000	0.000000
JETFUEL	27299.991332	27300.000000
FT_FUEL	0.000000	0.000000
GAS_RE	0.000000	0.000000
WOOD	0.000000	0.000000
WET_BIOMASS	0.000000	0.000000
COAL	0.000000	0.000000
URANIUM	1304462.984929	Infinity
WASTE	85000.000364	85000.000000
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	1915.250369	Infinity
CO2_EMISSIONS	38166.113930	Infinity
RES_WIND	437287.501014	Infinity
RES_SOLAR	272488.651636	Infinity
RES_HYDRO	92800.080164	Infinity
RES_GEO	0.000000	Infinity
CO2_ATMOSPHERE	2607.992131	Infinity
CO2_CENTRALISED	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
CO2_DECENTRALISED	0.000000	0.000000
OTHER_GHG	0.000000	0.000000
OLIVE_PITS	8.889231	8.888889
APPLES	13.741853	13.741667
CEREALSTRAW	22194.444488	22194.444444
CHERRIES	194.444424	194.444444
MAIZESTRAW	1916.666719	1916.666667
OLIVES	0.521916	55.555556
OSR	1277.777995	1277.777778
RICESTRAW	100.827907	100.827778
VINEYARDS	361.111382	361.111111
MISCANTHUS	0.037143	21500.000000
SWITCHGRASS	0.038560	20666.666667
WILLOW	0.034573	17083.333333
POPLAR	0.029446	1638.888889
CP_RES	34138.483506	34138.483333
FUELWOOD_RES	3166.666915	3166.666667
LANDSCAPECARE	3543.139268	3543.138889
MSW	18386.153065	18386.155556
FUELWOODRW	24709.966913	24709.966667
OTHERSECRESID	1472.222631	1472.222222
SAWDUST	388.889353	388.888889
CP_RW	53125.925626	77250.000000
GRASS_FOR_BIOGAS	603.027526	603.027778
MAIZE_SILAGE	1742.805120	1742.805556
SUGARBEETTOPS	388.888492	388.888889
MANURE_LIQ	2638.887848	2638.888889
MANURE_SOL	12916.667230	12916.666667
SLUDGE	1.666213	1.666667
