Name	Used	Potential
ELECTRICITY	0.000000	0.000000
GASOLINE	0.000000	0.000000
DIESEL	0.000000	0.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	0.000000
GAS	0.000000	0.000000
JETFUEL_RE	0.000000	0.000000
JETFUEL	25299.575423	27300.000000
FT_FUEL	0.000000	0.000000
GAS_RE	0.000000	0.000000
WOOD	0.000000	0.000000
WET_BIOMASS	0.000000	0.000000
COAL	0.000000	0.000000
URANIUM	1304462.975780	Infinity
WASTE	85000.001014	85000.000000
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	730.116452	Infinity
CO2_EMISSIONS	68769.868809	Infinity
RES_WIND	438851.430823	Infinity
RES_SOLAR	300471.806470	Infinity
RES_HYDRO	92971.909652	Infinity
RES_GEO	0.000000	Infinity
CO2_ATMOSPHERE	2591.604657	Infinity
CO2_CENTRALISED	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
CO2_DECENTRALISED	0.000000	0.000000
OTHER_GHG	0.000000	0.000000
OLIVE_PITS	3.452876	88.833333
APPLES	0.307520	109.966667
CEREALSTRAW	0.169220	53000.000000
CHERRIES	0.711841	388.888889
MAIZESTRAW	0.173915	12472.222222
OLIVES	0.226350	166.666667
OSR	0.204258	8833.333333
RICESTRAW	0.172196	504.147222
VINEYARDS	2944.409613	2944.444444
MISCANTHUS	0.027507	43694.444444
SWITCHGRASS	0.027730	44055.555556
WILLOW	0.029316	10611.111111
POPLAR	0.027062	1750.000000
CP_RES	1.116432	120840.166667
FUELWOOD_RES	37940.978605	44388.888889
LANDSCAPECARE	35430.362922	35431.344444
MSW	0.069022	40333.000000
FUELWOODRW	9066.201703	34138.888889
OTHERSECRESID	15166.667416	15166.666667
SAWDUST	4444.445628	4444.444444
CP_RW	0.254871	93000.000000
GRASS_FOR_BIOGAS	860.081158	860.138889
MAIZE_SILAGE	2485.831282	2485.833333
SUGARBEETTOPS	1.976074	861.111111
MANURE_LIQ	10583.325093	10583.333333
MANURE_SOL	117444.446108	117444.444444
SLUDGE	4.165499	4.166667
